,price(£),mileage(mi),door_count,body_style,engine_size(cc),transmission,year,brand,model
5339,18990,10.0,5.0,Hatchback,1200.0,Manual,2019.0,Vauxhall,Crossland
5340,8645,21736.0,5.0,Hatchback,1197.0,Manual,2017.0,Nissan,Juke
5341,21498,10770.0,5.0,Hatchback,1798.0,Automatic,2018.0,Toyota,C-HR
5342,13495,12744.0,5.0,Hatchback,988.0,Manual,2018.0,Honda,Civic
5343,20498,11589.0,5.0,Hatchback,2143.0,Automatic,2018.0,Mercedes-Benz,B
5344,14990,539.0,5.0,Hatchback,1318.0,Manual,2019.0,Honda,Jazz
5345,7195,9810.0,5.0,Hatchback,1199.0,Manual,2017.0,Citroen,C1
5346,5490,16110.0,5.0,Hatchback,999.0,Manual,2015.0,Volkswagen,Up
5347,18689,10969.0,5.0,Hatchback,1461.0,Automatic,2019.0,Nissan,Qashqai
5348,8999,46619.0,3.0,Hatchback,1560.0,Manual,2016.0,Ds,Ds
5349,15937,22196.0,5.0,Hatchback,1598.0,Manual,2017.0,Nissan,Qashqai
5350,10498,10.0,5.0,Hatchback,998.0,Manual,2020.0,Citroen,C1
5351,6690,23465.0,3.0,Hatchback,1398.0,Manual,2015.0,Vauxhall,Corsa
5352,5495,63477.0,5.0,Hatchback,1461.0,Manual,2012.0,Nissan,Juke
5353,7499,6285.0,5.0,Hatchback,998.0,Manual,2017.0,Toyota,Aygo
5354,12999,65805.0,5.0,Hatchback,1968.0,Manual,2016.0,Volkswagen,Golf
5355,20490,6274.0,5.0,Hatchback,1998.0,Manual,2019.0,Mazda,3
5356,9490,13866.0,5.0,Hatchback,1241.0,Manual,2017.0,Ford,Fiesta
5357,11560,24494.0,5.0,Hatchback,1461.0,Manual,2016.0,Nissan,Qashqai
5358,5790,27000.0,5.0,Hatchback,998.0,Manual,2016.0,Toyota,Aygo
5359,11799,25560.0,5.0,Hatchback,1364.0,Manual,2017.0,Vauxhall,Mokka
5360,8999,5000.0,5.0,Hatchback,1000.0,Manual,2019.0,Volkswagen,Up
5361,6995,11000.0,5.0,Hatchback,1242.0,Manual,2017.0,Suzuki,Baleno
5362,8795,50503.0,5.0,Hatchback,1560.0,Manual,2013.0,Volvo,V40
5363,11495,10.0,5.0,Hatchback,898.0,Manual,2019.0,Nissan,Micra
5364,7195,87960.0,5.0,Hatchback,1598.0,Manual,2016.0,Vauxhall,Astra
5365,12000,14927.0,5.0,Hatchback,1000.0,Manual,2018.0,Ford,Fiesta
5366,9895,43268.0,5.0,Hatchback,1197.0,Manual,2017.0,Volkswagen,Polo
5367,4800,37000.0,3.0,Hatchback,999.0,Manual,2015.0,Seat,Mii
5368,7799,32204.0,5.0,Hatchback,1000.0,Manual,2016.0,Vauxhall,Astra
5369,995,99000.0,5.0,Hatchback,1360.0,Manual,2007.0,Peugeot,207
5370,9349,45634.0,5.0,Hatchback,1598.0,Automatic,2014.0,Volkswagen,Golf
5371,2495,92562.0,5.0,Hatchback,1753.0,Manual,2008.0,Ford,Focus
5372,10000,39830.0,5.0,Hatchback,2000.0,Automatic,2015.0,Ford,Focus
5373,13698,28589.0,5.0,Hatchback,2143.0,Automatic,2016.0,Mercedes-Benz,B
5374,7990,19760.0,5.0,Hatchback,999.0,Manual,2015.0,Ford,Fiesta
5375,12699,16000.0,5.0,Hatchback,1598.0,Manual,2018.0,Vauxhall,Mokka
5376,10990,36000.0,5.0,Hatchback,1968.0,Manual,2016.0,Audi,A3
5377,4895,87080.0,5.0,Hatchback,1686.0,Manual,2013.0,Vauxhall,Mokka
5378,1895,115206.0,5.0,Hatchback,1386.0,Manual,2010.0,Nissan,Note
5379,7800,17815.0,3.0,Hatchback,1229.0,Manual,2016.0,Vauxhall,Adam
5380,8489,8491.0,5.0,Hatchback,1396.0,Manual,2016.0,Kia,Venga
5381,14300,27450.0,5.0,Hatchback,1461.0,Manual,2016.0,Mercedes-Benz,A
5382,3695,51000.0,3.0,Hatchback,1229.0,Manual,2010.0,Vauxhall,Corsa
