,price(£),mileage(mi),door_count,body_style,engine_size(cc),transmission,year,brand,model,luxury_brand,brand_new,old,sports_car
3088,17980,13107.0,2.0,Coupe,1499.0,Manual,2018.0,BMW,2,1,0,0,0
3089,45000,3000.0,2.0,Coupe,5038.0,Automatic,2020.0,Ford,Mustang,0,1,0,1
3090,8995,50643.0,2.0,Coupe,1598.0,Manual,2014.0,Peugeot,RCZ,0,0,0,0
3091,11495,75000.0,2.0,Coupe,2143.0,Automatic,2014.0,Mercedes-Benz,E,1,0,0,0
3092,3995,46549.0,2.0,Coupe,999.0,Automatic,2013.0,Smart,Fortwo,0,0,0,0
3093,11399,43275.0,2.0,Coupe,2143.0,Automatic,2014.0,Mercedes-Benz,C,1,0,0,0
3094,6740,45787.0,3.0,Coupe,1461.0,Manual,2016.0,Renault,Megane,0,0,0,0
3095,4495,54785.0,3.0,Coupe,1796.0,Manual,2007.0,Mercedes-Benz,C,1,0,0,0
3096,15999,29111.0,2.0,Coupe,2143.0,Automatic,2015.0,Mercedes-Benz,E,1,0,0,0
3097,18990,22941.0,2.0,Coupe,1984.0,Automatic,2015.0,Audi,TT,1,0,0,0
3098,5199,67704.0,3.0,Coupe,1197.0,Manual,2013.0,Seat,Ibiza,0,0,0,0
3099,17561,46435.0,2.0,Coupe,2993.0,Automatic,2016.0,BMW,4,1,0,0,1
3100,34950,23000.0,2.0,Coupe,5935.0,Automatic,2007.0,Aston-Martin,DB9,1,0,0,1
3101,25243,21050.0,2.0,Coupe,2993.0,Automatic,2016.0,BMW,6,1,0,0,1
3102,4790,91500.0,2.0,Coupe,1995.0,Manual,2010.0,BMW,1,1,0,0,0
3103,21970,20005.0,2.0,Coupe,2143.0,Automatic,2018.0,Mercedes-Benz,C,1,0,0,0
3104,99995,23000.0,2.0,Coupe,3797.0,Manual,2009.0,Porsche,911,1,0,0,1
3105,9480,50814.0,2.0,Coupe,1595.0,Automatic,2012.0,Mercedes-Benz,C,1,0,0,0
3106,65000,150.0,5.0,Coupe,3982.0,Automatic,2019.0,Mercedes-Benz,GLC,1,1,0,1
3107,17299,41000.0,4.0,Coupe,1995.0,Automatic,2017.0,BMW,4,1,0,0,0
3108,6990,29162.0,2.0,Coupe,1598.0,Manual,2013.0,Mini,Coupe,0,0,0,0
3109,5195,49000.0,2.0,Coupe,1598.0,Manual,2010.0,Peugeot,RCZ,0,0,0,0
3110,7495,46000.0,2.0,Coupe,1997.0,Manual,2012.0,Peugeot,RCZ,0,0,0,0
3111,62000,31000.0,2.0,Coupe,4000.0,Automatic,2014.0,Bentley,Continental,1,0,0,1
3112,22999,24735.0,2.0,Coupe,2143.0,Automatic,2016.0,Mercedes-Benz,C,1,0,0,0
3113,23999,11073.0,2.0,Coupe,2494.0,Automatic,2017.0,Lexus,RC,0,0,0,0
3114,13988,28600.0,2.0,Coupe,1995.0,Manual,2014.0,BMW,4,1,0,0,0
3115,16495,48000.0,5.0,Coupe,1995.0,Automatic,2018.0,BMW,4,1,0,0,0
3116,11199,57364.0,2.0,Coupe,2143.0,Automatic,2015.0,Mercedes-Benz,C,1,0,0,0
3117,19490,22537.0,2.0,Coupe,2979.0,Automatic,2016.0,BMW,2,1,0,0,1
3119,87990,13000.0,2.0,Coupe,3800.0,Automatic,2016.0,Mclaren,570,1,0,0,1
3120,13498,59257.0,3.0,Coupe,1968.0,Automatic,2016.0,Volkswagen,Scirocco,0,0,0,0
3121,20749,71638.0,4.0,Coupe,1991.0,Automatic,2014.0,Mercedes-Benz,CLA,1,0,0,0
3122,13495,32000.0,2.0,Coupe,2143.0,Automatic,2014.0,Mercedes-Benz,E,1,0,0,0
3123,14640,33840.0,2.0,Coupe,1499.0,Automatic,2016.0,BMW,2,1,0,0,0
3124,5975,51000.0,2.0,Coupe,1995.0,Manual,2011.0,BMW,3,1,0,0,0
3125,21999,26130.0,2.0,Coupe,2993.0,Automatic,2016.0,BMW,4,1,0,0,1
3126,29495,36200.0,2.0,Coupe,4400.0,Automatic,2014.0,BMW,M6,1,0,0,1
3127,42480,4703.0,2.0,Coupe,2979.0,Automatic,2019.0,BMW,M2,1,1,0,1
3128,18600,9348.0,2.0,Coupe,1998.0,Manual,2017.0,BMW,4,1,1,0,0
3129,4750,88000.0,3.0,Coupe,2387.0,Manual,2009.0,Alfa-Romeo,Brera,1,0,0,0
3130,56990,32200.0,2.0,Coupe,3799.0,Automatic,2016.0,Nissan,GT-R,0,0,0,1
3131,22250,28760.0,2.0,Coupe,1968.0,Automatic,2017.0,Audi,A5,1,0,0,0
3132,5995,68000.0,2.0,Coupe,1997.0,Manual,2012.0,Peugeot,RCZ,0,0,0,0
3133,11290,40500.0,2.0,Coupe,1595.0,Automatic,2012.0,Mercedes-Benz,C,1,0,0,0
3134,59950,4000.0,2.0,Coupe,3982.0,Automatic,2017.0,Mercedes-Benz,C,1,1,0,1
3136,17300,25000.0,4.0,Coupe,2000.0,Automatic,2015.0,BMW,4,1,0,0,0
3137,32998,17.0,2.0,Coupe,1497.0,Automatic,2019.0,Mercedes-Benz,C,1,1,0,0
3138,9595,81250.0,2.0,Coupe,1968.0,Manual,2013.0,Audi,TT,1,0,0,0
3139,10999,47531.0,3.0,Coupe,1798.0,Manual,2017.0,Seat,Ibiza,0,0,0,0
3140,134950,20045.0,2.0,Coupe,5204.0,Automatic,2015.0,Lamborghini,Huracan,0,0,0,1
3141,31489,21400.0,5.0,Coupe,2987.0,Automatic,2015.0,Mercedes-Benz,GLE,1,0,0,1
3142,9100,29188.0,3.0,Coupe,1364.0,Manual,2015.0,Vauxhall,GTC,0,0,0,0
3143,6995,49833.0,2.0,Coupe,1995.0,Manual,2012.0,Mini,Coupe,0,0,0,0
3144,16299,61774.0,2.0,Coupe,1995.0,Automatic,2017.0,BMW,4,1,0,0,0
3145,20950,27782.0,2.0,Coupe,3000.0,Automatic,2016.0,BMW,4,1,0,0,1
3146,3990,102000.0,2.0,Coupe,2993.0,Automatic,2006.0,BMW,3,1,0,1,1
3147,54500,24949.0,2.0,Coupe,3982.0,Automatic,2016.0,Mercedes-Benz,C,1,0,0,1
3148,30980,3254.0,2.0,Coupe,1950.0,Manual,2019.0,Mercedes-Benz,C,1,1,0,0
3149,2475,100000.0,3.0,Coupe,1560.0,Manual,2007.0,Volvo,C30,0,0,0,0
3150,15998,27385.0,2.0,Coupe,1798.0,Manual,2016.0,Audi,TT,1,0,0,0
3151,35799,3130.0,4.0,Coupe,2900.0,Automatic,2019.0,Mercedes-Benz,CLS,1,1,0,1
